init internal/bytealg @0 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/gc/scan @0.88 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.88 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @1.3 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/syscall/windows/sysdll @1.3 ms, 0 ms clock, 48 bytes, 1 allocs
init math @1.3 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/charmbracelet/x/ansi/parser @1.3 ms, 0 ms clock, 4128 bytes, 3 allocs
init errors @1.3 ms, 0 ms clock, 0 bytes, 0 allocs
init iter @1.3 ms, 0 ms clock, 0 bytes, 1 allocs
init sync @1.3 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/godebug @1.9 ms, 0 ms clock, 312 bytes, 7 allocs
init internal/sysinfo @1.9 ms, 0 ms clock, 88 bytes, 2 allocs
init encoding/base64 @1.9 ms, 0 ms clock, 1408 bytes, 4 allocs
init crypto @1.9 ms, 0 ms clock, 160 bytes, 1 allocs
init hash/crc32 @1.9 ms, 0 ms clock, 1152 bytes, 5 allocs
init syscall @1.9 ms, 0 ms clock, 1120 bytes, 19 allocs
init internal/syscall/windows @1.9 ms, 0 ms clock, 568 bytes, 17 allocs
init internal/syscall/windows/registry @1.9 ms, 0 ms clock, 64 bytes, 2 allocs
init time @1.9 ms, 0 ms clock, 13912 bytes, 6 allocs
init context @1.9 ms, 0 ms clock, 112 bytes, 1 allocs
init github.com/atotto/clipboard @1.9 ms, 2.1 ms clock, 360 bytes, 14 allocs
init internal/poll @4.0 ms, 0 ms clock, 64 bytes, 2 allocs
init io/fs @4.0 ms, 0 ms clock, 0 bytes, 0 allocs
init os @4.0 ms, 0 ms clock, 1256 bytes, 27 allocs
init os/signal @4.0 ms, 0 ms clock, 0 bytes, 0 allocs
init unicode @4.0 ms, 0 ms clock, 11400 bytes, 16 allocs
init reflect @4.0 ms, 0 ms clock, 0 bytes, 0 allocs
init database/sql/driver @4.0 ms, 0 ms clock, 0 bytes, 0 allocs
init go/token @4.0 ms, 0 ms clock, 984 bytes, 4 allocs
init log @4.0 ms, 0 ms clock, 64 bytes, 2 allocs
init compress/flate @4.5 ms, 0 ms clock, 4240 bytes, 7 allocs
init compress/gzip @4.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140 @4.5 ms, 0 ms clock, 320 bytes, 8 allocs
init crypto/internal/fips140/sha3 @4.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/sha256 @4.5 ms, 0 ms clock, 144 bytes, 2 allocs
init crypto/internal/fips140/sha512 @4.5 ms, 0 ms clock, 192 bytes, 1 allocs
init crypto/internal/fips140/hmac @4.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140/check @4.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/fips140 @4.5 ms, 0 ms clock, 48 bytes, 1 allocs
init crypto/internal/fips140/aes @4.5 ms, 0 ms clock, 0 bytes, 0 allocs
